time_stamp,battery_power_kw
2022-05-26 02:43:30.001714+00,19.8
2022-05-26 02:44:00.018946+00,7.6
2022-05-26 02:44:30.0015+00,36.1
2022-05-26 02:45:00.012971+00,15
2022-05-26 02:45:30.001576+00,28
2022-05-26 02:46:00.003305+00,32.1
2022-05-26 02:46:30.001418+00,14.9
2022-05-26 02:47:00.003212+00,25.1
2022-05-26 02:47:30.001644+00,8.2
2022-05-26 02:48:00.014057+00,24
2022-05-26 02:48:30.002605+00,7.9
2022-05-26 02:49:00.014022+00,-9.7
2022-05-26 02:49:30.001739+00,13.3
2022-05-26 02:50:00.001494+00,9
2022-05-26 02:50:30.001579+00,36.3
2022-05-26 02:51:00.013451+00,37.3
2022-05-26 02:51:30.001418+00,17.2
2022-05-26 02:52:00.002352+00,32.2
2022-05-26 02:52:30.001518+00,28.1
2022-05-26 02:53:00.012291+00,42.1
2022-05-26 02:53:30.001383+00,40.1
2022-05-26 02:54:00.002116+00,31
2022-05-26 02:54:30.002088+00,56.9
2022-05-26 02:55:00.018127+00,36.9
2022-05-26 02:55:30.001483+00,50.8
2022-05-26 02:56:00.013974+00,62.2
2022-05-26 02:56:30.001625+00,44.9
2022-05-26 02:57:00.001917+00,58.6
2022-05-26 02:57:30.002192+00,43.6
2022-05-26 02:58:00.002655+00,59.6
2022-05-26 02:58:30.001495+00,57.7
2022-05-26 02:59:00.013546+00,32.8
2022-05-26 02:59:30.00162+00,62.6
2022-05-26 03:00:00.013144+00,35.9
2022-05-26 03:00:30.002607+00,55.6
2022-05-26 03:01:00.011795+00,62.2
2022-05-26 03:01:30.002612+00,41.7
2022-05-26 03:02:00.003491+00,52.7
2022-05-26 03:02:30.00427+00,42.2
2022-05-26 03:03:00.010902+00,56.9
2022-05-26 03:03:30.001587+00,52.6
2022-05-26 03:04:00.00874+00,46
2022-05-26 03:04:30.001443+00,54.6
2022-05-26 03:05:00.002121+00,34.5
2022-05-26 03:05:30.001748+00,57.2
2022-05-26 03:06:00.001428+00,61.2
2022-05-26 03:06:30.001592+00,46.1
2022-05-26 03:07:00.002247+00,61.9
2022-05-26 03:07:30.006535+00,47.7
2022-05-26 03:08:00.002002+00,53.8
2022-05-26 03:08:30.002568+00,58.4
2022-05-26 03:09:00.006665+00,47.6
2022-05-26 03:09:30.001694+00,61.2
2022-05-26 03:10:00.006692+00,46
2022-05-26 03:10:30.001505+00,57.4
2022-05-26 03:11:00.013445+00,67.3
2022-05-26 03:11:30.001521+00,41.1
2022-05-26 03:12:00.004504+00,56.3
2022-05-26 03:12:30.001616+00,48.3
2022-05-26 03:13:00.002547+00,54.3
2022-05-26 03:13:30.003237+00,49.8
2022-05-26 03:14:00.002552+00,42.8
2022-05-26 03:14:30.001442+00,56.2
2022-05-26 03:15:00.003197+00,36.8
2022-05-26 03:15:30.001599+00,54.2
2022-05-26 03:16:00.004034+00,60.2
2022-05-26 03:16:30.002054+00,39.7
2022-05-26 03:17:00.021377+00,52.2
2022-05-26 03:17:30.001602+00,43.4
2022-05-26 03:18:00.015007+00,56.9
2022-05-26 03:18:30.002493+00,51.2
2022-05-26 03:19:00.011592+00,40.7
2022-05-26 03:19:30.002567+00,61.8
2022-05-26 03:20:00.017313+00,49.2
2022-05-26 03:20:30.001626+00,61.7
2022-05-26 03:21:00.013066+00,66.3
2022-05-26 03:21:30.001576+00,41.2
2022-05-26 03:22:00.003762+00,65.5
2022-05-26 03:22:30.002707+00,47.8
2022-05-26 03:23:00.001816+00,52.3
2022-05-26 03:23:30.001994+00,44.9
2022-05-26 03:24:00.002106+00,35
2022-05-26 03:24:30.001538+00,46.1
2022-05-26 03:25:00.002229+00,26.8
2022-05-26 03:25:30.008552+00,46.1
2022-05-26 03:26:00.01323+00,49.1
2022-05-26 03:26:30.001638+00,28.6
2022-05-26 03:27:00.002911+00,39
2022-05-26 03:27:30.002157+00,39.3
2022-05-26 03:28:00.002122+00,47.5
2022-05-26 03:28:30.002184+00,52
2022-05-26 03:29:00.007926+00,51.9
2022-05-26 03:29:30.00161+00,56.4
2022-05-26 03:30:00.013334+00,42.1
2022-05-26 03:30:30.002653+00,63
2022-05-26 03:31:00.006222+00,73.7
2022-05-26 03:31:30.00154+00,53.5
2022-05-26 03:32:00.002487+00,66.1
2022-05-26 03:32:30.006329+00,63.4
2022-05-26 03:33:00.011619+00,71
2022-05-26 03:33:30.003578+00,75.5
2022-05-26 03:34:00.01132+00,63.1
2022-05-26 03:34:30.001586+00,71.6
2022-05-26 03:35:00.014984+00,57.7
2022-05-26 03:35:30.002129+00,84.2
2022-05-26 03:36:00.010511+00,86.3
2022-05-26 03:36:30.002681+00,63
2022-05-26 03:37:00.002727+00,84.4
2022-05-26 03:37:30.00545+00,75
2022-05-26 03:38:00.015882+00,77.3
2022-05-26 03:38:30.00174+00,79.6
2022-05-26 03:39:00.003155+00,68.6
2022-05-26 03:39:30.001457+00,79.7
2022-05-26 03:40:00.003376+00,67.5
2022-05-26 03:40:30.001451+00,85.1
2022-05-26 03:41:00.016791+00,83.1
2022-05-26 03:41:30.00146+00,74.7
2022-05-26 03:42:00.013676+00,91.1
2022-05-26 03:42:30.001671+00,80.1
2022-05-26 03:43:00.002935+00,88.3
2022-05-26 03:43:30.001603+00,92.4
2022-05-26 03:44:00.00197+00,89.1
2022-05-26 03:44:30.002258+00,84.5
2022-05-26 03:45:00.007932+00,75.6
2022-05-26 03:45:30.001438+00,87.6
2022-05-26 03:46:00.018189+00,82
2022-05-26 03:46:30.001614+00,70.9
2022-05-26 03:47:00.011487+00,86.2
2022-05-26 03:47:30.001625+00,68.3
2022-05-26 03:48:00.011446+00,73.8
2022-05-26 03:48:30.006651+00,67.4
2022-05-26 03:49:00.002099+00,76.8
2022-05-26 03:49:30.002667+00,69.7
2022-05-26 03:50:00.00502+00,52.2
2022-05-26 03:50:30.001649+00,68.6
2022-05-26 03:51:00.001636+00,64.8
2022-05-26 03:51:30.001607+00,49.3
2022-05-26 03:52:00.005412+00,66.5
2022-05-26 03:52:30.001511+00,50.5
2022-05-26 03:53:00.012841+00,64.2
2022-05-26 03:53:30.00163+00,65.7
2022-05-26 03:54:00.002017+00,54
2022-05-26 03:54:30.006647+00,51.9
2022-05-26 03:55:00.004991+00,45.8
2022-05-26 03:55:30.004381+00,68.1
2022-05-26 03:56:00.004948+00,57.4
2022-05-26 03:56:30.001518+00,41.8
2022-05-26 03:57:00.011879+00,60.3
2022-05-26 03:57:30.001337+00,47.7
2022-05-26 03:58:00.0032+00,56.1
2022-05-26 03:58:30.001579+00,43.3
2022-05-26 03:59:00.002801+00,46.9
2022-05-26 03:59:30.003233+00,48.7
2022-05-26 04:00:00.010725+00,33
2022-05-26 04:00:30.001527+00,56.8
2022-05-26 04:01:00.014046+00,47.5
2022-05-26 04:01:30.001557+00,51
2022-05-26 04:02:00.003802+00,52.2
2022-05-26 04:02:30.00643+00,32.1
2022-05-26 04:03:00.001664+00,35.2
2022-05-26 04:03:30.001797+00,45.5
2022-05-26 04:04:00.012036+00,33.7
2022-05-26 04:04:30.001393+00,36.1
2022-05-26 04:05:00.012284+00,18.8
2022-05-26 04:05:30.001514+00,39
2022-05-26 04:06:00.002215+00,21.7
2022-05-26 04:06:30.002715+00,15
2022-05-26 04:07:00.011173+00,35.2
2022-05-26 04:07:30.00613+00,18.7
2022-05-26 04:08:00.015882+00,29.3
2022-05-26 04:08:30.002201+00,36
2022-05-26 04:09:00.012514+00,20.5
2022-05-26 04:09:30.002863+00,29.9
2022-05-26 04:10:00.011808+00,13.5
2022-05-26 04:10:30.003908+00,27.6
2022-05-26 04:11:00.003128+00,13.1
2022-05-26 04:11:30.002089+00,13.6
2022-05-26 04:12:00.015596+00,30.9
2022-05-26 04:12:30.001419+00,10.9
2022-05-26 04:13:00.002144+00,14.9
2022-05-26 04:13:30.001518+00,23.5
2022-05-26 04:14:00.002152+00,5.9
2022-05-26 04:14:30.001364+00,13.4
2022-05-26 04:15:00.016217+00,5.4
2022-05-26 04:15:30.001454+00,17.8
2022-05-26 04:16:00.002679+00,9
2022-05-26 04:16:30.001632+00,1.5
2022-05-26 04:17:00.011731+00,21.1
2022-05-26 04:17:30.001467+00,1.2
2022-05-26 04:18:00.018105+00,15.3
2022-05-26 04:18:30.001451+00,21.3
2022-05-26 04:19:00.002168+00,3.9
2022-05-26 04:19:30.001921+00,14.9
2022-05-26 04:20:00.001888+00,2.8
2022-05-26 04:20:30.001436+00,20.2
2022-05-26 04:21:00.013427+00,12.4
2022-05-26 04:21:30.001449+00,0.7
2022-05-26 04:22:00.014057+00,21.1
2022-05-26 04:22:30.001513+00,-5.8
2022-05-26 04:23:00.01011+00,11
2022-05-26 04:23:30.00163+00,11
2022-05-26 04:24:00.014942+00,-7.4
2022-05-26 04:24:30.004809+00,-1.4
2022-05-26 04:25:00.016753+00,-14.4
2022-05-26 04:25:30.001491+00,0.5
2022-05-26 04:26:00.003338+00,-14.1
2022-05-26 04:26:30.001525+00,-27.2
2022-05-26 04:27:00.011535+00,-9.4
2022-05-26 04:27:30.001454+00,-41.1
2022-05-26 04:28:00.010901+00,-26.2
2022-05-26 04:28:30.001446+00,-27.1
2022-05-26 04:29:00.005669+00,-48.7
2022-05-26 04:29:30.001794+00,-34.3
2022-05-26 04:30:00.013822+00,-50.9
2022-05-26 04:30:30.001709+00,-40.1
2022-05-26 04:31:00.004187+00,-48.9
2022-05-26 04:31:30.001645+00,-51.9
2022-05-26 04:32:00.002142+00,-38.5
2022-05-26 04:32:30.001949+00,-63.6
2022-05-26 04:33:00.012064+00,-48.7
2022-05-26 04:33:30.001653+00,-38.2
2022-05-26 04:34:00.002005+00,-59.2
2022-05-26 04:34:30.001546+00,-52.6
2022-05-26 04:35:00.022543+00,-55.3
2022-05-26 04:35:30.006145+00,-43.8
2022-05-26 04:36:00.012042+00,-47.8
2022-05-26 04:36:30.001322+00,-50.7
2022-05-26 04:37:00.005566+00,-35.2
2022-05-26 04:37:30.001669+00,-64.5
2022-05-26 04:38:00.012851+00,-50.7
2022-05-26 04:38:30.001537+00,-35.4
2022-05-26 04:39:00.013983+00,-46.4
2022-05-26 04:39:30.001368+00,-32.1
2022-05-26 04:40:00.014669+00,-41.7
2022-05-26 04:40:30.001418+00,-31.5
2022-05-26 04:41:00.012003+00,-30.3
2022-05-26 04:41:30.002833+00,-29.3
2022-05-26 04:42:00.011806+00,-20.9
2022-05-26 04:42:30.001612+00,-38.3
2022-05-26 04:43:00.001499+00,-18.7
2022-05-26 04:43:30.001438+00,-20.4
2022-05-26 04:44:00.003825+00,-35.5
2022-05-26 04:44:30.006426+00,-26.6
2022-05-26 04:45:00.001613+00,-19.3
2022-05-26 04:45:30.001966+00,-14
2022-05-26 04:46:00.006744+00,-8.3
2022-05-26 04:46:30.001668+00,-21.2
2022-05-26 04:47:00.012511+00,-7.6
2022-05-26 04:47:30.002551+00,-18.1
2022-05-26 04:48:00.017488+00,-3
2022-05-26 04:48:30.001447+00,-6.5
2022-05-26 04:49:00.001923+00,-6.1
2022-05-26 04:49:30.001449+00,-0.7
2022-05-26 04:50:00.004582+00,-5.5
2022-05-26 04:50:30.00186+00,-3.3
2022-05-26 04:51:00.001571+00,-18.1
2022-05-26 04:51:30.002308+00,-5.8
2022-05-26 04:52:00.015167+00,1.1
2022-05-26 04:52:30.001921+00,-13.5
2022-05-26 04:53:00.011592+00,5.6
2022-05-26 04:53:30.001658+00,0.5
2022-05-26 04:54:00.006124+00,2.6
2022-05-26 04:54:30.001433+00,9.3
2022-05-26 04:55:00.015364+00,1.2
2022-05-26 04:55:30.001465+00,-2
2022-05-26 04:56:00.016467+00,-4.8
2022-05-26 04:56:30.001423+00,10.5
2022-05-26 04:57:00.013406+00,5.6
2022-05-26 04:57:30.001752+00,-5.5
2022-05-26 04:58:00.002051+00,15.7
2022-05-26 04:58:30.002698+00,16.4
2022-05-26 04:59:00.011008+00,19.2
2022-05-26 04:59:30.001637+00,26.3
2022-05-26 05:00:00.01861+00,18.2
2022-05-26 05:00:30.001496+00,25.7
2022-05-26 05:01:00.002147+00,17.8
2022-05-26 05:01:30.001476+00,44.9
2022-05-26 05:02:00.001871+00,41.7
2022-05-26 05:02:30.001795+00,32
2022-05-26 05:03:00.002661+00,42.8
2022-05-26 05:03:30.002518+00,21.8
2022-05-26 05:04:00.012765+00,28.8
2022-05-26 05:04:30.001692+00,35.3
2022-05-26 05:05:00.012361+00,22.6
2022-05-26 05:05:30.003481+00,29.4
2022-05-26 05:06:00.017467+00,18.5
2022-05-26 05:06:30.001536+00,38.6
2022-05-26 05:07:00.002059+00,26.2
2022-05-26 05:07:30.001545+00,11.2
2022-05-26 05:08:00.01438+00,31.7
2022-05-26 05:08:30.001672+00,20.3
2022-05-26 05:09:00.001946+00,5.6
2022-05-26 05:09:30.002049+00,23.3
2022-05-26 05:10:00.003906+00,8.6
2022-05-26 05:10:30.001595+00,8.6
2022-05-26 05:11:00.00187+00,1.5
2022-05-26 05:11:30.002062+00,10.4
2022-05-26 05:12:00.004642+00,6.1
2022-05-26 05:12:30.001391+00,-6.3
2022-05-26 05:13:00.018191+00,12.5
2022-05-26 05:13:30.003433+00,7.3
