time_stamp,battery_power_kw,interpolated_battery_power_kw
2022-05-26 07:16:00,-144.1,-144.1
2022-05-26 07:17:00,-128.9,-128.9
2022-05-26 07:18:00,-118.1,-118.1
2022-05-26 07:19:00,32.8,32.8
2022-05-26 07:20:00,76.7,76.7
2022-05-26 07:21:00,64.3,64.3
2022-05-26 07:22:00,11.2,11.2
2022-05-26 07:23:00,-28.2,-28.2
2022-05-26 07:24:00,-20.7,-20.7
2022-05-26 07:25:00,17.7,17.7
2022-05-26 07:26:00,48.6,48.6
2022-05-26 07:27:00,-21.8,-21.8
2022-05-26 07:28:00,-94.1,-94.1
2022-05-26 07:29:00,-111.1,-111.1
2022-05-26 07:30:00,-98.3,-98.3
2022-05-26 07:31:00,-114.2,-114.2
2022-05-26 07:32:00,-26.5,-26.5
2022-05-26 07:33:00,-113.7,-113.7
2022-05-26 07:34:00,-87.9,-87.9
2022-05-26 07:35:00,-67.5,-67.5
2022-05-26 07:36:00,-129.4,-129.4
2022-05-26 07:37:00,-7.1,-7.1
2022-05-26 07:38:00,38.4,38.4
2022-05-26 07:39:00,36.8,36.8
2022-05-26 07:40:00,38.8,38.8
2022-05-26 07:41:00,8.0,8.0
2022-05-26 07:42:00,-28.3,-28.3
2022-05-26 07:43:00,-30.3,-30.3
2022-05-26 07:44:00,-18.8,-18.8
2022-05-26 07:45:00,11.8,11.8
2022-05-26 07:46:00,25.0,25.0
2022-05-26 07:47:00,-13.3,-13.3
2022-05-26 07:48:00,-101.1,-101.1
2022-05-26 07:49:00,23.5,23.5
2022-05-26 07:50:00,48.6,48.6
2022-05-26 07:51:00,25.5,25.5
2022-05-26 07:52:00,-16.6,-16.6
2022-05-26 07:53:00,42.8,42.8
2022-05-26 07:54:00,63.7,63.7
2022-05-26 07:55:00,94.0,94.0
2022-05-26 07:56:00,120.9,120.9
2022-05-26 07:57:00,116.5,116.5
2022-05-26 07:58:00,130.0,130.0
2022-05-26 07:59:00,126.1,126.1
2022-05-26 08:00:00,73.7,73.7
2022-05-26 08:01:00,56.2,56.2
2022-05-26 08:02:00,-1.4,-1.4
2022-05-26 08:03:00,9.0,9.0
2022-05-26 08:04:00,108.0,108.0
2022-05-26 08:05:00,74.2,74.2
2022-05-26 08:06:00,103.6,103.6
2022-05-26 08:07:00,99.4,99.4
2022-05-26 08:08:00,111.7,111.7
2022-05-26 08:09:00,127.1,127.1
2022-05-26 08:10:00,130.5,130.5
2022-05-26 08:11:00,109.3,109.3
2022-05-26 08:12:00,74.8,74.8
2022-05-26 08:13:00,87.6,87.6
2022-05-26 08:14:00,108.9,108.9
2022-05-26 08:15:00,130.0,130.0
2022-05-26 08:16:00,150.9,150.9
2022-05-26 08:17:00,136.5,136.5
2022-05-26 08:18:00,172.0,172.0
2022-05-26 08:19:00,195.0,195.0
2022-05-26 08:20:00,194.0,194.0
2022-05-26 08:21:00,200.4,200.4
2022-05-26 08:22:00,171.1,171.1
2022-05-26 08:23:00,180.6,180.6
2022-05-26 08:24:00,188.8,188.8
2022-05-26 08:25:00,191.0,191.0
2022-05-26 08:26:00,185.7,185.7
2022-05-26 08:27:00,162.1,162.1
2022-05-26 08:28:00,162.8,162.8
2022-05-26 08:29:00,175.8,175.8
2022-05-26 08:30:00,170.1,170.1
2022-05-26 08:31:00,176.2,176.2
2022-05-26 08:32:00,154.9,154.9
2022-05-26 08:33:00,162.7,162.7
2022-05-26 08:34:00,175.4,175.4
2022-05-26 08:35:00,159.7,159.7
2022-05-26 08:36:00,112.5,112.5
2022-05-26 08:37:00,42.2,42.2
2022-05-26 08:38:00,-39.6,-39.6
2022-05-26 08:39:00,-54.3,-54.3
2022-05-26 08:40:00,-77.2,-77.2
2022-05-26 08:41:00,-63.8,-63.8
2022-05-26 08:42:00,-68.9,-68.9
2022-05-26 08:43:00,-90.0,-90.0
2022-05-26 08:44:00,-72.5,-72.5
2022-05-26 08:45:00,-82.9,-82.9
2022-05-26 08:46:00,-61.1,-61.1
2022-05-26 08:47:00,-63.9,-63.9
2022-05-26 08:48:00,-88.0,-88.0
2022-05-26 08:49:00,-47.9,-47.9
2022-05-26 08:50:00,-56.6,-56.6
2022-05-26 08:51:00,-43.1,-43.1
2022-05-26 08:52:00,-45.4,-45.4
2022-05-26 08:53:00,-57.8,-57.8
2022-05-26 08:54:00,-41.4,-41.4
2022-05-26 08:55:00,-50.8,-50.8
2022-05-26 08:56:00,-34.8,-34.8
2022-05-26 08:57:00,-56.6,-56.6
2022-05-26 08:58:00,-66.9,-66.9
2022-05-26 08:59:00,-46.6,-46.6
2022-05-26 09:00:00,-39.8,-39.8
2022-05-26 09:01:00,-53.6,-53.6
2022-05-26 09:02:00,-51.7,-51.7
2022-05-26 09:03:00,-65.2,-65.2
2022-05-26 09:04:00,-54.7,-54.7
2022-05-26 09:05:00,-66.2,-66.2
2022-05-26 09:06:00,-53.2,-53.2
2022-05-26 09:07:00,-64.3,-64.3
2022-05-26 09:08:00,-99.3,-99.3
2022-05-26 09:09:00,-91.5,-91.5
2022-05-26 09:10:00,-87.1,-87.1
2022-05-26 09:11:00,-78.3,-78.3
2022-05-26 09:12:00,-65.7,-65.7
2022-05-26 09:13:00,-86.1,-86.1
2022-05-26 09:14:00,-88.6,-88.6
2022-05-26 09:15:00,-81.4,-81.4
2022-05-26 09:16:00,-88.8,-88.8
2022-05-26 09:17:00,-63.8,-63.8
2022-05-26 09:18:00,-97.6,-97.6
2022-05-26 09:19:00,-86.5,-86.5
2022-05-26 09:20:00,-97.0,-97.0
2022-05-26 09:21:00,-97.3,-97.3
2022-05-26 09:22:00,-84.7,-84.7
2022-05-26 09:23:00,-102.5,-102.5
2022-05-26 09:24:00,-117.3,-117.3
2022-05-26 09:25:00,-100.4,-100.4
2022-05-26 09:26:00,-93.3,-93.3
2022-05-26 09:27:00,-65.9,-65.9
2022-05-26 09:28:00,-96.4,-96.4
2022-05-26 09:29:00,-99.9,-99.9
2022-05-26 09:30:00,-99.6,-99.6
2022-05-26 09:31:00,-105.6,-105.6
2022-05-26 09:32:00,-146.3,-146.3
2022-05-26 09:33:00,-174.7,-174.7
2022-05-26 09:34:00,-182.5,-182.5
2022-05-26 09:35:00,-163.5,-163.5
2022-05-26 09:36:00,-179.3,-179.3
2022-05-26 09:37:00,-157.2,-157.2
2022-05-26 09:38:00,-162.7,-162.7
2022-05-26 09:39:00,-172.39999999999998,-172.39999999999998
2022-05-26 09:40:00,-145.60000000000002,-145.60000000000002
2022-05-26 09:41:00,-169.5,-169.5
2022-05-26 09:42:00,-155.9,-155.9
2022-05-26 09:43:00,-156.3,-156.3
2022-05-26 09:44:00,-167.4,-167.4
2022-05-26 09:45:00,-119.0,-119.0
2022-05-26 09:46:00,-154.5,-154.5
2022-05-26 09:47:00,-153.7,-153.7
2022-05-26 09:48:00,-140.3,-140.3
2022-05-26 09:49:00,-156.5,-156.5
2022-05-26 09:50:00,-120.3,-120.3
2022-05-26 09:51:00,-133.9,-133.9
2022-05-26 09:52:00,-139.5,-139.5
2022-05-26 09:53:00,-137.2,-137.2
2022-05-26 09:54:00,-146.9,-146.9
2022-05-26 09:55:00,-109.30000000000001,-109.30000000000001
2022-05-26 09:56:00,-137.8,-137.8
2022-05-26 09:57:00,-116.0,-116.0
2022-05-26 09:58:00,-117.9,-117.9
2022-05-26 09:59:00,-134.8,-134.8
2022-05-26 10:00:00,-95.69999999999999,-95.69999999999999
2022-05-26 10:01:00,-96.1,-96.1
2022-05-26 10:02:00,-97.1,-97.1
2022-05-26 10:03:00,-94.6,-94.6
